,3,4,4.5,root,3
,3,4,4.5,|0, 0|,3
,3,4,4.5,|1, 0|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 1|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 2|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|0, 1|,3
,3,4,4.5,|1, 0|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 1|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 2|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|0, 2|,3
,3,4,4.5,|1, 0|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 1|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 2|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
