,3,4,4.5,root,8
,3,4,4.5,|0, 0|,6
,3,4,4.5,|1, 0|,7
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|1, 1|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|1, 2|,5
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|1, 3|,8
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|1, 4|,0
,3,4,4.5,|1, 5|,8
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|0, 1|,5
,3,4,4.5,|1, 0|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|1, 1|,8
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|1, 2|,9
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|2, 8|,0
,3,4,4.5,|1, 3|,7
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|1, 4|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|0, 2|,0
,3,4,4.5,|0, 3|,0
,3,4,4.5,|0, 4|,0
,3,4,4.5,|0, 5|,0
,3,4,4.5,|0, 6|,7
,3,4,4.5,|1, 0|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|1, 1|,7
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|1, 2|,0
,3,4,4.5,|1, 3|,10
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|2, 8|,0
,3,4,4.5,|2, 9|,0
,3,4,4.5,|1, 4|,0
,3,4,4.5,|1, 5|,9
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|2, 8|,0
,3,4,4.5,|1, 6|,8
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|2, 7|,0
,3,4,4.5,|0, 7|,0
