,500,0,0,,10
Player 2 performed: [7],43,0,0.6229651162790696,Current player: 1,12
Player 1 performed: [0],4,0,0,Current player: 2,5
Player 2 performed: [8],1,0,1.0,Current player: 1,0
Player 2 performed: [9],1,0,1.0,Current player: 1,5
Player 1 performed: [0],1,0,0,Current player: 2,0
Player 1 performed: [1],0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
Player 2 performed: [10],1,0,1.0,Current player: 1,5
Player 1 performed: [0],1,0,0,Current player: 2,0
Player 1 performed: [1],0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
Player 2 performed: [11],1,0,0.4375,Current player: 1,5
Player 1 performed: [0],0,0,0,Current player: 2,0
Player 1 performed: [1],0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],1,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
Player 2 performed: [12],0,0,0,Current player: 1,0
Player 1 performed: [1],4,0,0,Current player: 2,5
Player 2 performed: [8],1,0,1.0,Current player: 1,8
Player 1 performed: [0],1,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
|Player 1 performed: [5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 4]|,0,0,0,Current player: 2,0
Player 2 performed: [9],1,0,0.4375,Current player: 1,10
Player 1 performed: [0],0,0,0,Current player: 2,0
Player 1 performed: [1],0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],1,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
|Player 1 performed: [5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 4]|,0,0,0,Current player: 2,0
Player 2 performed: [10],1,0,0.5,Current player: 1,10
Player 1 performed: [0],0,0,0,Current player: 2,0
Player 1 performed: [1],1,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
|Player 1 performed: [5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 4]|,0,0,0,Current player: 2,0
Player 2 performed: [11],1,0,1.0,Current player: 1,0
Player 2 performed: [12],0,0,0,Current player: 1,0
|Player 1 performed: [2, 0]|,4,0,0,Current player: 2,5
Player 2 performed: [8],1,0,0.3875,Current player: 1,21
Player 1 performed: [0],0,0,0,Current player: 2,0
|Player 1 performed: [1, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [1, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [1, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [1, 4]|,0,0,0,Current player: 2,0
|Player 1 performed: [1, 5]|,0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],1,0,0,Current player: 2,0
|Player 1 performed: [5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 4]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 5, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 5, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1, 5, 4]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 4]|,0,0,0,Current player: 2,0
Player 2 performed: [9],1,0,0.5,Current player: 1,10
Player 1 performed: [0],0,0,0,Current player: 2,0
Player 1 performed: [1],0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],1,0,0,Current player: 2,0
|Player 1 performed: [5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 2]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 3]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 4]|,0,0,0,Current player: 2,0
Player 2 performed: [10],1,0,0.4375,Current player: 1,10
Player 1 performed: [0],1,0,0,Current player: 2,0
Player 1 performed: [1],0,0,0,Current player: 2,0
Player 1 performed: [2],0,0,0,Current player: 2,0
Player 1 performed: [3],0,0,0,Current player: 2,0
Player 1 performed: [4],0,0,0,Current player: 2,0
|Player 1 performed: [5, 0]|,0,0,0,Current player: 2,0
|Player 1 performed: [5, 1]|,0,0,0,Current player: 2,0
