,3,4,4.5,root,5
,3,4,4.5,|0, 0|,6
,3,4,4.5,|1, 0|,5
,3,4,4.5,|2, 0|,2
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|2, 1|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 2|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 3|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 4|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|1, 1|,7
,3,4,4.5,|2, 0|,7
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|3, 6|,0
,3,4,4.5,|2, 1|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 2|,3
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|2, 3|,3
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|2, 4|,3
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|2, 5|,2
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|2, 6|,6
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|1, 2|,3
,3,4,4.5,|2, 0|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 1|,6
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|2, 2|,7
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|3, 6|,0
,3,4,4.5,|1, 3|,6
,3,4,4.5,|2, 0|,3
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|2, 1|,2
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|2, 2|,2
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|2, 3|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 4|,2
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|2, 5|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|1, 4|,3
,3,4,4.5,|2, 0|,4
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|2, 1|,7
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|3, 6|,0
,3,4,4.5,|2, 2|,4
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|1, 5|,6
,3,4,4.5,|2, 0|,6
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|2, 1|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 2|,2
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|2, 3|,7
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|3, 6|,0
,3,4,4.5,|2, 4|,3
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|2, 5|,6
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|3, 5|,0
,3,4,4.5,|0, 1|,3
,3,4,4.5,|1, 0|,2
,3,4,4.5,|2, 0|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|2, 1|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
,3,4,4.5,|3, 2|,0
,3,4,4.5,|3, 3|,0
,3,4,4.5,|3, 4|,0
,3,4,4.5,|1, 1|,4
,3,4,4.5,|2, 0|,5
,3,4,4.5,|3, 0|,0
,3,4,4.5,|3, 1|,0
