,3,4,4.5,root,6
,3,4,4.5,|0, 0|,0
,3,4,4.5,|0, 1|,7
,3,4,4.5,|1, 0|,4
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|1, 1|,0
,3,4,4.5,|1, 2|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 3|,4
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|1, 4|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|1, 5|,0
,3,4,4.5,|1, 6|,7
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|0, 2|,7
,3,4,4.5,|1, 0|,0
,3,4,4.5,|1, 1|,0
,3,4,4.5,|1, 2|,0
,3,4,4.5,|1, 3|,0
,3,4,4.5,|1, 4|,0
,3,4,4.5,|1, 5|,7
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|2, 6|,0
,3,4,4.5,|1, 6|,0
,3,4,4.5,|0, 3|,0
,3,4,4.5,|0, 4|,0
,3,4,4.5,|0, 5|,7
,3,4,4.5,|1, 0|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|1, 1|,0
,3,4,4.5,|1, 2|,4
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|1, 3|,3
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|1, 4|,6
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|2, 5|,0
,3,4,4.5,|1, 5|,5
,3,4,4.5,|2, 0|,0
,3,4,4.5,|2, 1|,0
,3,4,4.5,|2, 2|,0
,3,4,4.5,|2, 3|,0
,3,4,4.5,|2, 4|,0
,3,4,4.5,|1, 6|,0
