,10000,0,0,,18
[7]2,190,0,-0.0817982456140351,,9
[0]1,22,0,0,,4
[9]2,6,0,-0.024305555555555556,,9
[0]1,1,0,0,,3
[10]2,1,0,0.0625,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,2
[10]2,1,0,-0.041666666666666664,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,1,0,-0.08333333333333333,,0
[12]2,0,0,0,,0
|[1, 3]1|,1,0,0,,6
[7]2,1,0,-0.08333333333333333,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 4]1|,1,0,0,,3
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,-0.020833333333333332,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,1,0,0,,0
[5]1,0,0,0,,0
[10]2,5,0,-0.16666666666666669,,5
[0]1,1,0,0,,0
[1]1,1,0,0,,4
[7]2,0,0,0,,0
[9]2,1,0,-0.14583333333333334,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[2]1,1,0,0,,4
[7]2,1,0,-0.10416666666666667,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[3]1,1,0,0,,5
[7]2,1,0,-0.14583333333333334,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[5]1,0,0,0,,0
[11]2,5,0,-0.15,,5
[0]1,1,0,0,,3
[9]2,1,0,-0.10416666666666667,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
[1]1,1,0,0,,4
[7]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,0.0625,,0
[12]2,0,0,0,,0
[2]1,1,0,0,,0
[3]1,1,0,0,,5
[7]2,1,0,-0.1875,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
[5]1,1,0,0,,5
[7]2,1,0,0.0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
[12]2,5,0,-0.2416666666666667,,5
[0]1,1,0,0,,3
[9]2,1,0,-0.16666666666666666,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[1]1,1,0,0,,4
[7]2,1,0,-0.3541666666666667,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[2]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,1,0,-0.3541666666666667,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[3]1,1,0,0,,0
[5]1,1,0,0,,5
[7]2,1,0,-0.22916666666666666,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[1]1,21,0,0,,5
[8]2,5,0,0.004166666666666667,,5
[0]1,1,0,0,,4
[9]2,0,0,0,,0
[10]2,1,0,0.041666666666666664,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[2]1,1,0,0,,0
[3]1,1,0,0,,6
[7]2,0,0,0,,0
[8]2,1,0,-0.020833333333333332,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[4]1,1,0,0,,4
[9]2,1,0,0.0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[5]1,0,0,0,,0
[9]2,4,0,0.005208333333333334,,5
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,0.0625,,0
[2]1,1,0,0,,5
[7]2,1,0,-0.020833333333333332,,0
[8]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[3]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,1,0,0.020833333333333332,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[4]1,1,0,0,,0
